username,is_verified,is_private,is_business_account
aylinlongoria28,False,True,False
camelkordish,False,False,False
jbrd,False,False,False
sageagainstthamachine,False,True,False
paige.sheldrick,False,False,False
nelisse.marof,False,True,False
giuliana_lopez1977,False,False,False
taraw313,False,True,False
sabajor,False,False,False
baco.coffee,False,False,True
vendelaelise,False,False,False
the_tori_story,False,True,False
tiazacher,False,False,False
emsgram,False,True,False
laurn0027,False,True,False
moxiecoffeeco,False,False,True
brewbettercoffeeco,False,False,True
packagingbest_lucy,False,False,True
like.george.coffee,False,True,False
mary.r.schneider,False,False,False
the_alemander,False,True,False
jennynieh,False,True,False
adamcoffeeboi,False,False,False
joecvlt,False,False,True
chameleoncofffee,False,True,False
tbhcog,False,True,False
jambalvo,False,False,False
eyansonandcompany,False,True,False
_poursouth,False,True,False
makitacoffeeclub,False,False,False
theroastingbarista,False,False,False
justinpalentchar,False,False,False
nightingalecoffeeco,False,False,True
marketing_babe,False,False,False
esacademypdx,False,False,True
robwheelman,False,True,False
smilingredhead.julie,False,False,True
munnydj,False,False,False
tester__coffee,False,False,False
yeifigueros,False,False,False
louisprimeau,False,True,False
_camjohn_,False,False,False
haedotjeon,False,False,False
yamgoth,False,True,False
talulahj,False,True,False
bborichaa66,False,False,False
mihai.panfil,False,False,False
peterandcakethecat,False,True,False
emilyfrosted,False,False,False
j_matatyaou,False,False,False
maanzoa,False,True,False
rohoang,False,True,False
twentyninebird,False,True,False
nathanparkercollins,False,False,True
neiy_lim,False,True,False
travelserena,False,False,False
emmaebowers,False,False,False
coffeeeecreeeep,False,False,False
montezeats,False,False,False
jeffreyfrost616,False,False,False
phoe_beees,False,False,False
lfarran,False,False,False
lesluneswine,False,False,False
coffeeplusman,False,True,False
franciscomars_,False,False,False
sophiecorinneh,False,False,False
feelsafexx,False,False,False
anvilla_zeko,False,True,False
taylors0613,False,False,False
referencia_mz,False,True,False
frances_quilts,False,False,False
beardedgerberbaby,False,False,False
lewisorganics_id,False,False,True
elsawhere91,False,True,False
jportnw,False,False,False
wuyonghong99,False,True,False
hijabsandaprons,False,False,False
ten.tenproductions,False,False,True
lftpdx,False,True,False
florescarl,False,True,False
grey_man66,False,False,False
raegrossman,False,False,False
karen.natoci,False,False,False
williscc.chicago,False,False,True
shookosky,False,True,False
ri.jjang,False,True,False
marshylpdx,False,True,False
mikeisberto,False,False,False
me7d,False,False,False
savwasserman,False,False,False
jessika.sheridan,False,False,False
raulsilve,False,True,False
jml379,False,False,False
kaapilove,False,True,False
pursuingcoffee,False,False,False
akrho_bby,False,False,False
simplemerchantcoffee,False,False,True
clint_forry,False,False,False
dinc_cf,False,True,False
bigdazz1986,False,True,False
bean_where_it_dont_belong,False,False,False
carmalynae,False,False,False
maria.juk,False,False,True
maddss.93,False,False,False
blazeklibor,False,True,False
tassiewashie,False,True,False
nolita.sa,False,False,True
cherylverne,False,False,False
nnamhee,False,False,False
bigbadbasterd,False,False,False
tvia901,False,True,False
getajobdon,False,False,False
petesmilk,False,False,True
nachowitch,False,False,True
wdnutricion,False,False,True
libby_toogoodtogo,False,False,False
jakeaim,False,False,False
rhkd.tkd,False,True,False
landettaproducciones,False,False,True
jojozornik26,False,True,False
heritagecoffeeworks,False,True,False
theelectricpizzacompany,False,False,True
lightlybruisedpeach,False,True,False
ladyfrida1,False,False,False
_mikusta,False,True,False
moo1neung.s,False,False,False
przechowalniamarzen,False,False,True
korwgonl,False,False,False
imdog.backwards,False,False,False
roastingequipment,False,False,False
ali_ba2021,False,True,False
alsacianne,False,True,False
sarahosaurus_rex,False,False,False
eggszacktly,False,False,False
kaamsquare,False,False,False
elitebeancoffee,False,False,True
evanrfrench,False,True,False
someshitaboutcoffee,False,False,False
_.st.john._,False,False,False
dontechw,False,True,False
spacecowgirl_____,False,True,False
huntermusic2021,False,False,True
grounds.aroundtown,False,False,False
every.falling.leaf,False,False,False
wadi2306,False,True,False
ctatefoster,False,True,False
fean_chocolate,False,False,False
ajour.cafe,False,False,True
roasters2021,False,False,False
samdotchun,False,False,False
morganevephoto,False,False,True
jujube_coffee,False,False,False
patriciolandettajr,False,False,False
monkoffee,False,False,True
barista_lawrence_reno,False,False,False
chayutrat,False,False,False
pdxsourdough,False,False,False
pvnovarese,False,False,False
hoho.js,False,False,False
tombuchholz,False,True,False
inbetween.ds,False,False,False
neil_fry,False,False,False
manuchocarizza,True,False,False
collinscoffeecrusade,False,False,True
il.cortado,False,False,False
dankandhandsome_,False,False,False
michy_miller,False,True,False
meema_microtattoo,False,False,True
fool_coffee,False,False,True
fotilanaras,False,False,False
shawndra.roberts,False,True,False
dujin.gim,False,True,False
feedthemass,False,False,True
reflectionsroasters,False,False,True
evan.suarez,False,False,False
caffeinemartin,False,False,False
anniebean,False,False,False
ninjasara9,False,True,False
oceanforcoffee,False,False,False
jonamai,False,True,False
ghostcoffeecollab,False,False,True
_bradygrimes,False,False,False
the_ransom_kirk,False,False,False
drewlikesplants,False,True,False
warren_peace__,False,True,False
footyfiend92,False,False,False
telescopecoffee_,False,False,False
sfcoffeefestival,False,False,True
woogatron,False,True,False
roberta.vela,False,True,False
lipsticksnlattess,False,False,False
sjo__k,False,True,False
viraj_2398,False,False,True
bunny.fest,False,False,False
repentanthearts,False,False,False
katie_uihlein,False,False,False
bekindtraveloften,False,True,False
leletimka,False,True,False
gordedmiston,False,False,False
doing_less,False,True,False
anjellapagan,False,False,False
skyehatten,False,False,True
