username,is_verified,is_private,is_business_account
amycharlenem,False,True,False
intl_chris,False,True,False
camelkordish,False,False,False
fikacoffee,False,False,True
packagingbest_lucy,False,False,True
mattsadventure_,False,True,False
julia_gallant,False,True,False
joecvlt,False,False,True
gabecasher,False,True,False
mcconnell325,False,True,False
krystalparamo_,False,True,False
joshhepp,False,True,False
line.cisco,False,False,False
rrmalia18,False,True,False
xokenny94,False,True,False
singleserveco,False,False,True
b412djo_angkringan,False,False,True
amandacdavidson,False,True,False
dhpocoffeeteawares,False,False,True
13_coffee_,False,False,True
amdom004,False,True,False
zacpotter93,False,True,False
victoriaarduino_us,False,False,True
wilson_webber12,False,False,False
laundryonthefax,False,False,True
elleyeahvintage,False,False,True
tomato_basile,False,True,False
precious__perks,False,False,True
spitz_on_your_phone,False,True,False
bekahisack,False,False,False
ejf31590,False,True,False
hubcityrob,False,False,False
jayadams_co,False,True,False
neighborhood_bread,False,False,True
fpalacio_79,False,False,False
yojust,False,True,False
cafe.tracker,False,False,True
coffee_corvus,False,False,True
mattmcneece,False,False,False
brewz_williz,False,False,False
eatvafels,False,False,True
galsdenverhs,False,False,True
cassibeth12,False,True,False
thelatteartiste,False,False,False
alexanjulianco,False,False,True
tastydecafs,False,False,True
evabee4199,False,True,False
stpatton,False,True,False
adross2021,False,False,False
badresta,False,False,True
caffeineandgasoline1977,False,True,False
mleeharris,False,True,False
thetollerandthewolf,False,False,False
maryliteblue,False,False,False
lightningandlove,False,False,True
kokoandlolaco,False,False,True
samantha_metalmarkfinejewelry,False,False,False
emmajacobson._,False,True,False
unorthodoxcoffeecatering,False,False,True
kaightie,False,True,False
leighton_brodsky5,False,True,False
acies.coffee,False,False,True
the.bog.witch,False,False,False
1986willys,False,False,False
fincaterrerito,False,False,True
tibi1203,False,True,False
brewskisbarandgrill,False,False,False
lucasjohnsonlj,False,True,False
jaguaracoffee,False,False,True
kristiangolick,False,False,True
blackbird_woodfired_pizza,False,False,True
abbeymonk13,False,True,False
looo0sh,False,True,False
conniescoffeeclub,False,False,False
saminstagraham,False,False,False
ariz0ena,False,False,False
rossellineisabella,False,True,False
addictedtofancy,False,True,False
kayfraynix,False,True,False
eybecks,False,False,False
yorkscafe,False,False,True
lauraatbonavita,False,False,False
newyorkcity_inmylife,False,True,False
ellemajors,False,False,True
matthewjustinrupp,False,False,False
sasa_19988,False,False,False
coffeenola,False,False,False
sierraannphotography,False,False,True
btakesphotos,False,False,False
ca_koller,False,True,False
thewilddenver,False,False,True
tiffness.fitness,False,False,True
ecorestaurantsupplies,False,False,False
archiebaldcooke,False,False,False
claudsalvarado,False,True,False
fauxinsiles,False,False,False
halloweentown2kalibarsrevenge,False,True,False
lolo_lobo_,False,True,False
debvago,False,False,False
foodizforeplay,False,False,False
bwinter418,False,True,False
laurieandstephencoffeechannel,False,False,False
stradakeith,False,False,False
curatecoffeecollective,False,False,True
greenboxarts,False,False,True
heyitscrystelli,False,False,False
crystellis.gourmet.bakery,False,False,True
ntttan0806,False,False,False
rachaelthedinosaur,False,False,False
_just_one_more_,False,False,False
emmadillonwoodward,False,False,False
badassdanielcarrillo,False,False,False
___momoyo,False,False,False
tatcoffeecart,False,False,True
bentuckian,False,True,False
tayyarecikahvefonu,False,False,False
mattvhogue,False,False,False
gastrophysics_,False,False,True
tucciyamagucci,False,False,False
adrianad14,False,True,False
ratingcoffeecom,False,False,True
kwabs9,False,True,False
alex.mi200,False,False,False
auntria80,False,False,True
h_stolty,False,False,False
elsaltocoffee,False,False,True
thecoffeeinmycup,False,False,False
diggitydumplings,False,False,True
bradym06,False,False,False
kyanspecialtycoffee,False,False,True
lisa_mackey15,False,True,False
jrgee__,False,True,False
umukocoffee,False,False,True
zach_lanta,False,True,False
kristenlega,False,False,False
barushonfire,False,True,False
mstdonoghue,False,False,False
stephenenke,False,True,False
dreamersdayprod,False,False,True
rachelmarieeeeee,False,False,False
thrivecollectiveco,False,False,True
mmakayla_09,False,False,False
est.18065,False,False,False
fortheloveofcoffee2020,False,True,False
glassarrowcoffee,False,False,True
kellyreinketv,False,False,True
monicakateller,False,True,False
lannyperelman,False,True,False
codyhennings,False,False,False
themorningwreck,False,False,False
yourbeber,False,False,False
dayna_l_c,False,True,False
natosha_rogers,False,False,True
_itscheyy,False,True,False
stefanorosic,False,True,False
aey_coffeelog,False,False,True
dustin.coffee,False,False,False
katelizmedia,False,False,False
foundation_therapy,False,False,True
top_sk8er_12345,False,True,False
jasoneprater,False,False,False
kiki.he_,False,False,True
auburn_cc,False,False,False
s_daysie,False,False,False
dicajb,False,True,False
m720anthony,False,False,False
heat_her_anders,False,True,False
killer.tofuu,False,False,False
scott1900mcm,False,False,False
infulldetail,False,False,True
elizabethocean,False,True,False
kecrockett,False,True,False
rhabarbarama,False,False,False
lindsaydrillette,False,False,False
meghanmcgraw,False,True,False
mejiamace,False,True,False
spaceships_rearview_mirrors,False,True,False
willthethethrill88,False,False,False
georgehscott3,False,False,False
jjbucha,False,False,True
josueq,False,False,True
colfaxandivy,False,False,False
kapej.store,False,False,True
ebearw,False,False,True
robwheelman,False,True,False
ethanmwatson,False,False,False
newbiebrewsph,False,False,False
c_and_r412,False,True,False
keholm,False,True,False
noco_coffee_reviews,False,False,False
kona_bowls,False,False,True
pakmanprint,False,True,False
gooseandfriendspodcast,False,False,True
coffeenurd,False,False,False
broadsheetcoffee,False,False,True
raethefig,False,False,False
lightyear_coffee,False,False,True
justrosieindenver,False,False,False
nehama_music,False,False,False
amyceleste07,False,False,False
kmack_627,False,True,False
laurenacarney,False,False,False
randy4moon,False,False,False
casperrrrr_____,False,False,False
pearlberry.io,False,False,False
jkeeler3,False,True,False
aa_ron_starr,False,True,False
faybrendan,False,True,False
caitperdue,False,False,False
rkehlert_90,False,False,False
daniel.d_17,False,False,False
locallydenver,False,False,False
hcdiv,False,True,False
coffeedrinkingdiva,False,False,False
erich_rosenberg,False,False,False
three.strands.roasting,False,False,True
denver_multimedia,False,False,True
countertopcoffeeco,False,False,True
cuisine_and_architecture,False,False,False
tomorrowistodaymarketing,False,False,False
river_auder,False,True,False
ariannaingrao,False,True,False
jarins1,False,True,False
alix_miller,False,True,False
matt8poi,False,True,False
malena9106,False,True,False
kardia_coffee,False,False,True
abhorrance831,False,False,False
quantumcookie,False,False,False
lilboibrew,False,False,True
juliannasparrow,False,False,False
gatohambriento,False,False,False
gokaseygo,False,True,False
evie_liles,False,True,False
jacob.calix,False,True,False
h_brown,False,False,False
_jamieorange_,False,True,False
thisisrinodenver,False,False,True
mgravely81,False,False,False
t_fit_kr,False,False,True
ugly.duckling.oddities,False,False,True
avenidascafe,False,False,True
jordanolivia,False,False,False
kelsimstrawn,False,False,False
ryanstauffer,False,False,False
emiliergunter,False,True,False
coloradoroasts,False,False,False
alissaking1979,False,True,False
jaspoole,False,True,False
tlc.chappy,False,False,False
berryyygood,False,False,False
thewinterknight77,False,True,False
lindenheuvel,False,True,False
josiahthomas87,False,False,False
dinewithzuck,False,False,True
janayainwonderland,False,True,False
novostudio,False,False,True
phristian.cedigo,False,False,True
azoozche,False,True,False
kgracejones1,False,True,False
taywright23,False,False,False
joalherb,False,False,False
michaelkurmadas,False,True,False
kyl3ngo__,False,True,False
spreadthegoodbrews,False,False,False
juandavidemebe,False,True,False
instintocoffee,False,False,True
nikos_dimi88,False,False,False
teacupsnwookboots,False,True,False
imad__h,False,False,False
marinyosoy,False,False,True
saralovessunshine,False,False,False
kjellpineda,False,True,False
gustavo.arroyo47,False,False,False
gonehikingphotos,False,False,True
tradecraft.industries,False,False,True
coloradochance,False,False,False
ithekraken,False,False,False
harm_and_his_horn,False,True,False
denverdogheroes,False,False,False
annoyedocelot,False,False,False
gnarlymountaincookies,False,False,True
hayleyfiser,False,False,True
ekaufmann,False,False,False
mpq2,False,True,False
__oatmilklatte,False,True,False
clarkbar1212,False,True,False
vincent.d7,False,True,False
pachahouse_denver,False,False,True
______divine_destiny____,False,True,False
okesonjennifer,False,False,False
averyscoffeecup,False,False,False
paige_edge,False,True,False
ivan_enrique,False,False,True
bill_gbg,False,True,False
tomo_to_coffee,False,False,False
__stevewoo,False,False,True
purshiagambles,False,False,False
hooves66,False,True,False
lizziebeee_,False,False,False
bwalla7,False,True,False
e_southrop,False,True,False
bryantthegiant,False,True,False
pixelloversphotography,False,False,True
ernestbrockman,False,False,False
marajczegel,False,True,False
chrisrothschadl,False,True,False
marrettlaney91,False,False,False
nkpradhan,False,True,False
nutraberry_ig,False,False,True
jay_win_,False,True,False
deekayy21,False,True,False
brightsidecoffeetrailer,False,False,True
handbrew,False,False,False
thissideofdallas,False,True,False
florforlife,False,False,False
konnichiwatson,False,True,False
kaitlnra,False,False,False
oldbluntmouth,False,False,False
rjd_coffee,False,True,False
kirbypeterman,False,False,False
popcarnes,False,True,False
denversugarcube,False,False,True
falvarez1403,False,False,False
editoredward,False,False,False
timdwyerdenver,False,False,False
kyramichelleperry,False,True,False
ouichefdenver,False,False,False
saltocoffee,False,False,True
hannahleest,False,True,False
labrulerievictorhugo,False,False,True
msdouglas24,False,False,False
woolgatheringzoo,False,True,False
matthew93t3k,False,True,False
marche_nyc,False,False,True
mrsmeeks,False,False,False
doretti1,False,True,False
thelilenchinthatcould,False,True,False
weiliklee,False,True,False
willpruett13,False,False,False
matteblk83,False,False,False
baycikacker,False,True,False
casi_barista,False,False,False
threeshipscoffee,False,False,True
coriandcjs_gamo,False,True,False
giovannbrews,False,False,False
kwb810,False,False,False
danicateal,False,False,False
ilacy01202019,False,True,False
mohamedmagbol,False,True,False
darnas.degeneracy,False,False,False
camillamodesitt,False,True,False
arob717,False,False,False
clockfacecoffee,False,False,True
dpahlau,False,False,False
woolpierogi,False,True,False
konjo325,False,False,False
dtlamag,False,True,False
thornsport_,False,False,False
isaacjenkins,False,False,False
dougdpark,False,False,False
thetiffanytodd,False,True,False
r_f_o_w_l_e_r,False,True,False
electric_gravyland,False,False,False
jen_kick,False,True,False
westrail,False,False,False
johnburchmore,False,False,False
bleibsinco,False,True,False
dbarreiro,False,True,False
christinamhuber,False,False,False
deweyrogge,False,False,False
chefdave__,False,False,False
rhapsodic.kat,False,True,False
2__step,False,True,False
alvarez_1212,False,True,False
alexarferri,False,True,False
monacodenver,False,False,True
sancristocafe,False,False,True
imbibe_thedrinktank,False,False,True
hanleyhrh,False,False,False
slayerespresso.id,False,False,True
kalebeastgrubs,False,False,True
harrishomebrew,False,False,False
qvintacoffee,False,False,False
lucas.plus.coffee,False,False,False
theschmalex,False,False,False
lacocinita.denver,False,False,True
coco.thedogg0,False,True,False
